Category,Indicator_ID,Indicator_Group,Indicator,Description,Country_Coverage,Time_Coverage,Download_Data_URL,View_Metadata_URL,API_Explorer_URL,Last_Update_Date,Disclaimer,Copyright_and_Usage,ObjectId
Greenhouse Gas (GHG) Emissions,1,GHG Emissions Accounts,Quarterly Greenhouse Gas (GHG) Air Emissions Accounts,Quarterly greenhouse gas emissions by activity and by region.,Regional,2010-2025,https://climatedata.imf.org/datasets/543872e1d86c49e3a3bdf38f2b758f92/explore,https://climatedata.imf.org/datasets/543872e1d86c49e3a3bdf38f2b758f92/about,https://climatedata.imf.org/datasets/543872e1d86c49e3a3bdf38f2b758f92/api,"September 08, 2025","The estimates are considered experimental. The sources and methods used to compile these estimates are still in development. Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome. ",https://www.imf.org/external/terms.htm,1
Greenhouse Gas (GHG) Emissions,2,GHG Emissions Accounts,Annual Greenhouse Gas (GHG) Air Emissions Accounts,Annual greenhouse gas emissions by activity and by region.,Regional,2010-2023,https://climatedata.imf.org/datasets/c8579761f19740dfbe4418b205654ddf/explore,https://climatedata.imf.org/datasets/c8579761f19740dfbe4418b205654ddf/about,https://climatedata.imf.org/datasets/c8579761f19740dfbe4418b205654ddf/api,"September 09, 2025","Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome.",https://www.imf.org/external/terms.htm,2
Greenhouse Gas (GHG) Emissions,3,National Inventories and Targets,National Greenhouse Gas Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets,National Greenhouse Gas Emissions Inventories by the sector of origin and National Mitigation Targets as determined by the countries.,209,1970-2030,https://climatedata.imf.org/datasets/72e94bc71f4441d29710a9bea4d35f1d/explore,https://climatedata.imf.org/datasets/72e94bc71f4441d29710a9bea4d35f1d/about,https://climatedata.imf.org/datasets/72e94bc71f4441d29710a9bea4d35f1d/api,"September 09, 2025","The IMF Staff estimates (e.g. Business as Usual Estimates, Emissions Targets) are considered experimental. The sources and methods used to compile these estimates are still in development. Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome.
",https://www.imf.org/external/terms.htm,3
Greenhouse Gas (GHG) Emissions,4,CO₂ Emissions Intensities and Multipliers,"CO₂ Emissions, Emissions Intensities, and Emissions Multipliers","CO₂ emissions;  CO₂ direct and indirect emissions per unit of output by industry and by country. CO₂ emissions by industry, in aggregate terms and in terms of output by industry.",66,1995-2018,https://climatedata.imf.org/datasets/7cec1228bfbe4a5e876ca5a5abedd64f/explore,https://climatedata.imf.org/datasets/7cec1228bfbe4a5e876ca5a5abedd64f/about,https://climatedata.imf.org/datasets/7cec1228bfbe4a5e876ca5a5abedd64f/api,"August 22, 2025","Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome. ",https://www.imf.org/external/terms.htm,4
Greenhouse Gas (GHG) Emissions,5,Carbon Footprints from Economic Activity,"CO₂ Emissions embodied in Domestic Final Demand, Production, and Trade","Amount of CO₂ emissions from fuel combustion embodied in domestic final demand, production, and trade.",66,1995-2021,https://climatedata.imf.org/datasets/7ba962035bb548bb9893add2b5491896/explore,https://climatedata.imf.org/datasets/7ba962035bb548bb9893add2b5491896/about,https://climatedata.imf.org/datasets/7ba962035bb548bb9893add2b5491896/api,"June 12, 2025","Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome.",https://www.imf.org/external/terms.htm,5
Greenhouse Gas (GHG) Emissions,6,Carbon Footprints from Economic Activity,Direct Investment-related Indicators,Carbon emissions associated with domestic output used for gross fixed capital formation financed by direct investment and its ratio to final demand. Carbon emissions embodied in the output of domestic and foreign owned enterprises and the emissions embodied in the portion of this output that is exported.,59,2005-2018,https://climatedata.imf.org/datasets/90ad86f75879448b98336a202cde94fc/explore,https://climatedata.imf.org/datasets/90ad86f75879448b98336a202cde94fc/about,https://climatedata.imf.org/datasets/90ad86f75879448b98336a202cde94fc/api,"October 06, 2022",,https://www.imf.org/external/terms.htm,6
Mitigation,7,Environmental Taxes,Environmental Taxes,"A tax whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.",126,1995-2021,https://climatedata.imf.org/datasets/3fb1ed30d3394574b3145246846023b1/explore,https://climatedata.imf.org/datasets/3fb1ed30d3394574b3145246846023b1/about,https://climatedata.imf.org/datasets/3fb1ed30d3394574b3145246846023b1/api,"September 18, 2023",,https://www.imf.org/external/terms.htm,7
Mitigation,8,Environmental Protection Expenditures,Environmental Protection Expenditures,"Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).",130,1995-2022,https://climatedata.imf.org/datasets/d22a6decd9b147fd9040f793082b219b/explore,https://climatedata.imf.org/datasets/d22a6decd9b147fd9040f793082b219b/about,https://climatedata.imf.org/datasets/d22a6decd9b147fd9040f793082b219b/api,"September 18, 2023",,https://www.imf.org/external/terms.htm,8
Mitigation,9,Fossil Fuel Subsidies,Fossil Fuel Subsidies,"The extent to which fossil fuel prices paid by consumers do not reflect the fuels’ full financial and social costs, expressed as an aggregate value for each fuel and economy.",168,2015-2030,https://climatedata.imf.org/datasets/d48cfd2124954fb0900cef95f2db2724/explore,https://climatedata.imf.org/datasets/d48cfd2124954fb0900cef95f2db2724/about,https://climatedata.imf.org/datasets/d48cfd2124954fb0900cef95f2db2724/api,"September 10, 2024",The subsidy amounts are estimates using the available data. See the associated Working Paper for additional caveats.,https://www.imf.org/external/terms.htm,9
"Mitigation,Transition to a Low-Carbon Economy",10,Renewable Energy,Renewable Energy,"Electricity generation and electricity installed capacity, classified by energy type (renewable and non-renewable) and 10 technology types.",220,2000-2024,https://climatedata.imf.org/datasets/0bfab7fb7e0e4050b82bba40cd7a1bd5/explore,https://climatedata.imf.org/datasets/0bfab7fb7e0e4050b82bba40cd7a1bd5/about,https://climatedata.imf.org/datasets/0bfab7fb7e0e4050b82bba40cd7a1bd5/api,"August 26, 2025",,https://www.imf.org/external/terms.htm,10
"Mitigation,Transition to a Low-Carbon Economy",11,Trade in Low Carbon Technology,Trade in Low Carbon Technology Products,"Low carbon technology products produce less pollution than their traditional energy counterparts, and will play a vital role in the transition to a low carbon economy. Low carbon technologies include mechanics like wind turbines, solar panels, biomass systems and carbon capture equipment.",205,1994-2023,https://climatedata.imf.org/datasets/1d33174e9e46429d9e570d539556f66a/explore,https://climatedata.imf.org/datasets/1d33174e9e46429d9e570d539556f66a/about,https://climatedata.imf.org/datasets/1d33174e9e46429d9e570d539556f66a/api,"November 28, 2024",,https://www.imf.org/external/terms.htm,11
"Mitigation,Transition to a Low-Carbon Economy",12,Trade in Low Carbon Technology,Bilateral Trade in Low Carbon Technology Products,Bilateral trade flows of low carbon technology products.,205,1994-2023,https://climatedata.imf.org/datasets/975bc577fe7342c2a3651e8841959c47/explore,https://climatedata.imf.org/datasets/975bc577fe7342c2a3651e8841959c47/about,https://climatedata.imf.org/datasets/975bc577fe7342c2a3651e8841959c47/api,"November 28, 2024",,https://www.imf.org/external/terms.htm,12
Mitigation,13,Forest and Carbon,Forest and Carbon,Carbon sequestration is essential to mitigate global climate change. Forest ecosystems determine global climate change by removing or adding greenhouse gases such as CO2 from the atmosphere. ,225,1992-2023,https://climatedata.imf.org/datasets/66dad9817da847b385d3b2323ce1be57/explore,https://climatedata.imf.org/datasets/66dad9817da847b385d3b2323ce1be57/about,https://climatedata.imf.org/datasets/66dad9817da847b385d3b2323ce1be57/api,"September 04, 2025","Users are encouraged to examine the documentation, metadata, and sources associated with the data. User feedback on the fit-for-use of this product and whether the various dimensions of the product are appropriate is welcome.",https://www.imf.org/external/terms.htm,13
